tld,urlLen,domainlength,fileNameLen,pathurlRatio,NumberofDotsinURL,Query_DigitCount,LongestPathTokenLength,delimeter_Domain,delimeter_path,SymbolCount_Domain,Entropy_URL,Entropy_Domain,count_hyphen,count_slash,count_question_mark,count_equal,count_at,count_excl,count_tilde,count_comma,count_plus,count_star,count_hash,count_dollar,class
3,22,6,0,0,2,0,0,0,0,0,2.419381946,1.918295834,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,23,7,0,0,2,0,0,0,0,0,2.921928095,2.521640636,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,24,8,0,0,2,0,0,0,0,0,2.845350937,2.75,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,21,5,0,0,2,0,0,0,0,0,3,2.321928095,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,25,9,0,0,2,0,0,0,0,0,3.188721876,2.641604168,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,22,6,0,0,2,0,0,0,0,0,2.947702779,2.251629167,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,21,5,0,0,2,0,0,0,0,0,2.405639062,1.921928095,0,2,0,0,0,0,0,0,0,0,0,0,benign
5,24,6,0,0,3,0,0,0,0,0,2.646439345,1.918295834,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,18,2,0,0,2,0,0,0,0,0,1.921928095,0,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,22,6,0,0,2,0,0,0,0,0,2.503258335,2.251629167,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,22,6,0,0,2,0,0,0,0,0,2.419381946,1.918295834,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,23,7,0,0,2,0,0,0,0,0,2.846439345,2.128085279,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,21,5,0,0,2,0,0,0,0,0,2.5,1.921928095,0,2,0,0,0,0,0,0,0,0,0,0,benign
5,24,6,0,0,3,0,0,0,0,0,2.646439345,1.918295834,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,18,2,0,0,2,0,0,0,0,0,2.321928095,1,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,20,4,0,0,2,0,0,0,0,0,2.807354922,2,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,25,9,0,0,2,0,0,0,0,0,3.251629167,2.947702779,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,20,4,0,0,2,0,0,0,0,0,2.521640636,2,0,2,0,0,0,0,0,0,0,0,0,0,benign
6,23,4,0,0,3,0,0,0,0,0,2.725480557,2,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,18,2,0,0,2,0,0,0,0,0,2.321928095,1,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,21,5,0,0,2,0,0,0,0,0,2.75,2.321928095,0,2,0,0,0,0,0,0,0,0,0,0,benign
2,18,3,0,0,2,0,0,0,0,0,2.321928095,0,0,2,0,0,0,0,0,0,0,0,0,0,benign
2,21,6,0,0,2,0,0,0,0,0,2.25,1.918295834,0,2,0,0,0,0,0,0,0,0,0,0,benign
5,24,6,0,0,3,0,0,0,0,0,2.646439345,1.918295834,0,2,0,0,0,0,0,0,0,0,0,0,benign
6,25,6,0,0,3,0,0,0,0,0,2.845350937,1.918295834,0,2,0,0,0,0,0,0,0,0,0,0,benign
2,21,6,0,0,2,0,0,0,0,0,2.5,1.918295834,0,2,0,0,0,0,0,0,0,0,0,0,benign
2,21,6,0,0,2,0,0,0,0,0,2.5,1.918295834,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,23,7,0,0,2,0,0,0,0,0,3.321928095,2.807354922,0,2,0,0,0,0,0,0,0,0,0,0,benign
2,21,6,0,0,2,0,0,0,0,0,3,2.584962501,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,26,5,0,0,3,0,0,0,0,0,2.855388542,1.921928095,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,24,8,0,0,2,0,0,0,0,0,3.095795255,2.5,0,2,0,0,0,0,0,0,0,0,0,0,benign
2,21,6,0,0,2,0,0,0,0,0,2.405639062,2.251629167,0,2,0,0,0,0,0,0,0,0,0,0,benign
2,21,6,0,0,2,0,0,0,0,0,2.5,1.918295834,0,2,0,0,0,0,0,0,0,0,0,0,benign
2,16,1,0,0,2,0,0,0,0,0,1.584962501,0,0,2,0,0,0,0,0,0,0,0,0,0,benign
6,25,6,0,0,3,0,0,0,0,0,2.845350937,1.918295834,0,2,0,0,0,0,0,0,0,0,0,0,benign
3,23,7,0,0,2,0,0,0,0,0,3.121928095,2.807354922,0,2,0,0,0,0,0,0,0,0,0,0,benign
